,V_GS(V),V_DS(mV),測定電流(mA),理論電流,V_GS(V),V_DS(mV),測定電流(mA),理論電流,V_GS(V),V_DS(mV),測定電流(mA),理論電流,V_GS(V),V_DS(mV),測定電流(mA),理論電流
,0,279,0.8,#REF!,-0.2,282,0.7,#REF!,-0.4,,,#REF!,-0.6,,,#REF!
,,310,0.82,,,349,0.8,,0,,,,0,,,
,,360,0.98,,,405,0.9,,0,,,,0,,,
,,393,1,,,,,,0,,,,0,,,
,,450,1.15,#REF!,,,,#REF!,0,,,#REF!,0,,,#REF!
,,502,1.2,,,,,,0,,,,0,,,
,,560,1.35,#REF!,,,,#REF!,0,,,#REF!,0,,,#REF!
,,619,1.41,#REF!,,,,#REF!,0,,,#REF!,0,,,#REF!
,,656,1.5,#REF!,,,,#REF!,0,,,#REF!,0,,,#REF!
,,710,1.59,#REF!,,,,#REF!,0,,,#REF!,0,,,#REF!
,,750,1.62,#REF!,,,,#REF!,0,,,#REF!,0,,,#REF!
,,809,1.7,#REF!,,,,#REF!,0,,,#REF!,0,,,#REF!
,,910,1.82,,,,,,0,,,,0,,,
,,1020,2,,,,,,0,,,,0,,,
,,1135,2.1,#REF!,,,,#REF!,0,,,#REF!,0,,,#REF!
,,1200,2.19,#REF!,,,,#REF!,0,,,#REF!,0,,,#REF!
,,1330,2.22,,,,,,0,,,,0,,,
,,1400,2.25,,,,,,0,,,,0,,,
,,1500,2.39,,,,,,0,,,,0,,,
,,1600,2.4,,,,,,0,,,,0,,,
,,1710,2.42,#REF!,,,,#REF!,0,,,#REF!,0,,,#REF!
,,1800,2.46,#REF!,,,,#REF!,0,,,#REF!,0,,,#REF!
,,1900,2.52,#REF!,,,,#REF!,0,,,#REF!,0,,,#REF!
,,2000,2.56,,,,,,,,,,,,,
,,2100,2.58,,,,,,,,,,,,,
,,2200,2.58,,,,,,,,,,,,,
,,2300,2.6,,,,,,,,,,,,,
,,2400,2.6,,,,,,,,,,,,,
,,2500,2.6,,,,,,,,,,,,,
,,2600,2.6,,,,,,,,,,,,,
,,3000,2.6,,,,0,,,,0,,,,0,
