w,theoretical_value,measured_value
62831.85307,2.82E-05,0.000187
628318.5307,0.000284,0.000472
1.26E+06,0.000583,0.000787
3.14E+06,0.00178,0.002106318957
3.77E+06,0.0024,0.002741558007
4.40E+06,0.0033,0.003752754863
5.03E+06,0.00474,0.005264019007
5.65E+06,0.00748,0.008454482221
6.28E+06,0.0146,0.0165078569
6.41E+06,0.0175,0.01936845018
6.60E+06,0.0235,0.0235372785
6.66E+06,0.0261,0.02479661206
6.72E+06,0.0287,0.02532419955
6.79E+06,0.031,0.02532419955
6.85E+06,0.0328,0.02532419955
6.91E+06,0.0334,0.02451799844
6.97E+06,0.0328,0.02326980943
7.04E+06,0.0312,0.02211763496
7.10E+06,0.029,0.02080315019
7.16E+06,0.0266,0.01982136887
7.23E+06,0.0242,0.01836016524
7.54E+06,0.0158,0.0139549082
9.42E+06,0.00488,0.005233090576
1.26E+07,0.00244,0.002703144896
