w,c1,c2
6283.185307,-5.606907936,-5.929969404
6911.503838,-5.021120414,-5.328902607
7539.822369,-4.365778777,-4.808640572
8168.140899,-4.018296856,-4.355683813
8796.45943,-3.521825181,-3.959315166
9424.777961,-3.205939837,-3.610888209
10053.09649,-2.901140506,-3.303337923
10367.25576,-2.752660145,-3.163028355
10681.41502,-2.60667537,-3.030832374
10995.57429,-2.60667537,-2.906171831
11309.73355,-2.463103677,-2.788517346
12566.37061,-2.046100898,-2.378823441
15707.96327,-1.519522123,-1.663657458
18849.55592,-1.144533403,-1.219386853
21991.14858,-0.6771653452,-0.9277479884
25132.74123,-0.560574472,-0.7274126161
28274.33388,-0.4455278942,-0.5845210409
31415.92654,-0.3319852364,-0.4793482319
37699.11184,-0.219907686,-0.3384121888
43982.29715,-0.109257914,-0.251167812
50265.48246,-0.109257914,-0.1935902733
56548.66776,0,-0.1536695515
