w,c1,c2
6283.185307,-59.65242084,-59.04
6911.503838,-57.21789511,-55.44
7539.822369,-54.90962642,-52.704
8168.140899,-52.72496376,-50.544
8796.45943,-50.66009411,-47.376
9424.777961,-48.71036479,-45.36
10053.09649,-46.8705587,-44.928
10367.25576,-45.990149,-44.55
10681.41502,-45.1351213,-44.064
10731.6805,-45.00062441,-43.0416
10995.57429,-44.30475829,-42.84
11309.73355,-43.498342,-41.472
12566.37061,-40.49794355,-38.88
15707.96327,-34.34147105,-34.2
18849.55592,-29.65483862,-28.08
21991.14858,-26.01286813,-23.94
25132.74123,-23.12293319,-21.6
28274.33388,-20.78495039,-19.44
31415.92654,-18.86054908,-18
37699.11184,-15.89021539,-15.12
43982.29715,-13.71252445,-12.6
50265.48246,-12.05196345,-11.52
56548.66776,-10.74590658,-10.368
