w,c1,c2
628.3185307,0,-0.01486094366
1256.637061,-0.1052847998,-0.05914107692
3141.592654,-0.3237352219,-0.3570703748
6283.185307,-1.499295233,-1.280022758
9424.777961,-2.60667537,-2.482766744
10053.09649,-2.901140506,-2.73579093
10367.25576,-2.976343484,-2.862760593
10681.41502,-3.052203264,-2.989864155
10731.6805,-3.205939837,-3.010205298
10995.57429,-3.205939837,-3.116986158
11309.73355,-3.362446588,-3.244020802
12566.37061,-4.018296856,-3.749476708
15707.96327,-5.19274621,-4.972510985
18849.55592,-6.240507599,-6.111865301
21991.14858,-7.432221399,-7.159162229
25132.74123,-8.234565863,-8.118665796
28274.33388,-9.118639113,-8.99882467
31415.92654,-9.76233278,-9.808801672
34557.51919,-10.45757491,-10.55716648
37699.11184,-11.41303054,-11.25149055
43982.29715,-12.95634964,-12.50318197
50265.48246,-13.71212086,-13.60544337
53407.07511,-13.97940009,-14.11034813
56548.66776,-14.53997456,-14.58857309
59690.26042,-15.13923903,-15.0426927
62831.85307,-15.13923903,-15.47494104
