w,c1,c2
1256.637061,7.2,-6.678549315
3141.592654,17.28,-16.31653016
6283.185307,30.24,-30.34757916
9424.777961,43.2,-41.28963521
10053.09649,44.352,-43.1294413
10367.25576,44.55,-44.009851
10681.41502,45.288,-44.8648787
10731.6805,45.50112,-44.99937559
10995.57429,46.62,-45.69524171
11309.73355,47.952,-46.501658
12566.37061,51.84,-49.50205645
15707.96327,57.6,-55.65852895
18849.55592,59.4,-60.34516138
21991.14858,63,-63.98713187
25132.74123,67.68,-66.87706681
28274.33388,68.04,-69.21504961
31415.92654,72,-71.13945092
34557.51919,73.26,-72.74770228
37699.11184,75.6,-74.10978461
43982.29715,75.6,-76.28747555
50265.48246,80.64,-77.94803655
53407.07511,79.56,-78.63798433
56548.66776,81,-79.25409342
59690.26042,82.08,-79.80749293
62831.85307,82.8,-80.30720417
