time,h
-4.00E-04,-2.30E-02
-3.96E-04,0.00E+00
-3.92E-04,-2.30E-02
-3.88E-04,0.00E+00
-3.84E-04,0.00E+00
-3.80E-04,0.00E+00
-3.76E-04,0.00E+00
-3.72E-04,-2.27E-02
-3.68E-04,0.00E+00
-3.64E-04,-2.33E-02
-3.60E-04,0.00E+00
-3.56E-04,0.00E+00
-3.52E-04,0.00E+00
-3.48E-04,-2.33E-02
-3.44E-04,0.00E+00
-3.40E-04,-2.27E-02
-3.36E-04,-2.33E-02
-3.32E-04,0.00E+00
-3.28E-04,-2.33E-02
-3.24E-04,0.00E+00
-3.20E-04,0.00E+00
-3.16E-04,-2.27E-02
-3.12E-04,0.00E+00
-3.08E-04,-2.27E-02
-3.04E-04,0.00E+00
-3.00E-04,-2.27E-02
-2.96E-04,4.65E-02
-2.92E-04,-2.30E-02
-2.88E-04,0.00E+00
-2.84E-04,-2.30E-02
-2.80E-04,0.00E+00
-2.76E-04,-2.33E-02
-2.72E-04,0.00E+00
-2.68E-04,-2.33E-02
-2.64E-04,0.00E+00
-2.60E-04,-2.33E-02
-2.56E-04,0.00E+00
-2.52E-04,-2.30E-02
-2.48E-04,0.00E+00
-2.44E-04,-2.33E-02
-2.40E-04,-2.33E-02
-2.36E-04,0.00E+00
-2.32E-04,-2.33E-02
-2.28E-04,0.00E+00
-2.24E-04,0.00E+00
-2.20E-04,-2.33E-02
-2.16E-04,0.00E+00
-2.12E-04,-2.30E-02
-2.08E-04,-2.30E-02
-2.04E-04,0.00E+00
-2.00E-04,0.00E+00
-1.96E-04,-2.33E-02
-1.92E-04,0.00E+00
-1.88E-04,0.00E+00
-1.84E-04,0.00E+00
-1.80E-04,-2.33E-02
-1.76E-04,-2.30E-02
-1.72E-04,0.00E+00
-1.68E-04,0.00E+00
-1.64E-04,-2.30E-02
-1.60E-04,0.00E+00
-1.56E-04,-2.27E-02
-1.52E-04,0.00E+00
-1.48E-04,-2.27E-02
-1.44E-04,0.00E+00
-1.40E-04,-2.30E-02
-1.36E-04,0.00E+00
-1.32E-04,-2.33E-02
-1.28E-04,0.00E+00
-1.24E-04,0.00E+00
-1.20E-04,0.00E+00
-1.16E-04,-2.30E-02
-1.12E-04,0.00E+00
-1.08E-04,-2.33E-02
-1.04E-04,0.00E+00
-1.00E-04,-2.27E-02
-9.60E-05,0.00E+00
-9.20E-05,-2.27E-02
-8.80E-05,0.00E+00
-8.40E-05,-2.27E-02
-8.00E-05,0.00E+00
-7.60E-05,-2.33E-02
-7.20E-05,0.00E+00
-6.80E-05,-2.30E-02
-6.40E-05,0.00E+00
-6.00E-05,-2.33E-02
-5.60E-05,-2.33E-02
-5.20E-05,0.00E+00
-4.80E-05,0.00E+00
-4.40E-05,-2.27E-02
-4.00E-05,0.00E+00
-3.60E-05,-2.30E-02
-3.20E-05,0.00E+00
-2.80E-05,-2.33E-02
-2.40E-05,0.00E+00
-2.00E-05,-2.33E-02
-1.60E-05,0.00E+00
-1.20E-05,-2.33E-02
-8.00E-06,0.00E+00
-4.00E-06,-2.33E-02
2.02E-11,2.02E+00
4.00E-06,1.90E+00
8.00E-06,1.88E+00
1.20E-05,1.75E+00
1.60E-05,1.73E+00
2.00E-05,1.63E+00
2.40E-05,1.59E+00
2.80E-05,1.48E+00
3.20E-05,1.46E+00
3.60E-05,1.35E+00
4.00E-05,1.37E+00
4.40E-05,1.25E+00
4.80E-05,1.23E+00
5.20E-05,1.16E+00
5.60E-05,1.14E+00
6.00E-05,1.06E+00
6.40E-05,1.06E+00
6.80E-05,9.76E-01
7.20E-05,9.88E-01
7.60E-05,9.29E-01
8.00E-05,9.29E-01
8.40E-05,8.67E-01
8.80E-05,8.57E-01
9.20E-05,7.86E-01
9.60E-05,7.86E-01
1.00E-04,7.38E-01
1.04E-04,7.38E-01
1.08E-04,6.59E-01
1.12E-04,6.67E-01
1.16E-04,6.12E-01
1.20E-04,6.19E-01
1.24E-04,5.88E-01
1.28E-04,5.71E-01
1.32E-04,5.18E-01
1.36E-04,5.18E-01
1.40E-04,4.71E-01
1.44E-04,4.94E-01
1.48E-04,4.52E-01
1.52E-04,4.47E-01
1.56E-04,4.24E-01
1.60E-04,4.24E-01
1.64E-04,3.95E-01
1.68E-04,3.95E-01
1.72E-04,3.53E-01
1.76E-04,3.76E-01
1.80E-04,3.26E-01
1.84E-04,3.29E-01
1.88E-04,3.26E-01
1.92E-04,3.26E-01
1.96E-04,2.82E-01
2.00E-04,3.06E-01
2.04E-04,2.79E-01
2.08E-04,2.79E-01
2.12E-04,2.59E-01
2.16E-04,2.59E-01
2.20E-04,2.33E-01
2.24E-04,2.35E-01
2.28E-04,2.09E-01
2.32E-04,2.12E-01
2.36E-04,2.09E-01
2.40E-04,2.09E-01
2.44E-04,1.88E-01
2.48E-04,1.86E-01
2.52E-04,1.86E-01
2.56E-04,1.86E-01
2.60E-04,1.65E-01
2.64E-04,1.63E-01
2.68E-04,1.41E-01
2.72E-04,1.63E-01
2.76E-04,1.40E-01
2.80E-04,1.40E-01
2.84E-04,1.18E-01
2.88E-04,1.40E-01
2.92E-04,1.18E-01
2.96E-04,1.40E-01
3.00E-04,1.16E-01
3.04E-04,1.16E-01
3.08E-04,1.16E-01
3.12E-04,9.41E-02
3.16E-04,1.15E-01
3.20E-04,1.16E-01
3.24E-04,9.30E-02
3.28E-04,9.30E-02
3.32E-04,9.30E-02
3.36E-04,9.20E-02
3.40E-04,7.06E-02
3.44E-04,9.30E-02
3.48E-04,6.98E-02
3.52E-04,9.30E-02
3.56E-04,6.98E-02
3.60E-04,6.98E-02
3.64E-04,9.20E-02
3.68E-04,6.98E-02
3.72E-04,6.98E-02
3.76E-04,6.98E-02
3.80E-04,6.90E-02
3.84E-04,6.98E-02
3.88E-04,4.59E-02
3.92E-04,6.98E-02
3.96E-04,4.65E-02
4.00E-04,4.65E-02
4.04E-04,6.98E-02
4.08E-04,6.90E-02
4.12E-04,4.65E-02
4.16E-04,4.65E-02
4.20E-04,2.30E-02
4.24E-04,2.33E-02
4.28E-04,4.65E-02
4.32E-04,4.65E-02
4.36E-04,2.33E-02
4.40E-04,4.65E-02
4.44E-04,2.33E-02
4.48E-04,4.65E-02
4.52E-04,2.33E-02
4.56E-04,4.65E-02
4.60E-04,2.30E-02
4.64E-04,2.33E-02
4.68E-04,2.33E-02
4.72E-04,2.33E-02
4.76E-04,2.30E-02
4.80E-04,2.33E-02
4.84E-04,2.33E-02
4.88E-04,2.33E-02
4.92E-04,2.30E-02
4.96E-04,2.33E-02
5.00E-04,2.33E-02
5.04E-04,2.33E-02
5.08E-04,2.30E-02
5.12E-04,2.33E-02
5.16E-04,0.00E+00
5.20E-04,2.33E-02
5.24E-04,2.33E-02
5.28E-04,2.33E-02
5.32E-04,0.00E+00
5.36E-04,2.33E-02
5.40E-04,2.33E-02
5.44E-04,0.00E+00
5.48E-04,2.30E-02
5.52E-04,2.33E-02
5.56E-04,2.33E-02
5.60E-04,2.33E-02
5.64E-04,0.00E+00
5.68E-04,2.33E-02
5.72E-04,0.00E+00
5.76E-04,0.00E+00
5.80E-04,2.33E-02
5.84E-04,2.30E-02
5.88E-04,0.00E+00
5.92E-04,2.33E-02
5.96E-04,0.00E+00
6.00E-04,2.33E-02
6.04E-04,2.30E-02
6.08E-04,2.33E-02
6.12E-04,0.00E+00
6.16E-04,2.33E-02
6.20E-04,0.00E+00
6.24E-04,2.33E-02
6.28E-04,0.00E+00
6.32E-04,0.00E+00
6.36E-04,2.33E-02
6.40E-04,2.33E-02
6.44E-04,0.00E+00
6.48E-04,2.33E-02
6.52E-04,0.00E+00
6.56E-04,0.00E+00
6.60E-04,2.33E-02
6.64E-04,2.33E-02
6.68E-04,0.00E+00
6.72E-04,0.00E+00
6.76E-04,2.35E-02
6.80E-04,2.30E-02
6.84E-04,0.00E+00
6.88E-04,2.33E-02
6.92E-04,0.00E+00
6.96E-04,0.00E+00
7.00E-04,2.30E-02
7.04E-04,0.00E+00
7.08E-04,2.33E-02
7.12E-04,0.00E+00
7.16E-04,2.30E-02
7.20E-04,0.00E+00
7.24E-04,2.27E-02
7.28E-04,0.00E+00
7.32E-04,2.35E-02
7.36E-04,0.00E+00
7.40E-04,0.00E+00
7.44E-04,0.00E+00
7.48E-04,2.27E-02
7.52E-04,0.00E+00
7.56E-04,2.27E-02
7.60E-04,0.00E+00
7.64E-04,2.33E-02
7.68E-04,0.00E+00
7.72E-04,2.30E-02
7.76E-04,0.00E+00
7.80E-04,2.27E-02
7.84E-04,0.00E+00
7.88E-04,2.27E-02
7.92E-04,0.00E+00
7.96E-04,2.30E-02
8.00E-04,0.00E+00
8.04E-04,2.27E-02
8.08E-04,0.00E+00
8.12E-04,0.00E+00
8.16E-04,0.00E+00
8.20E-04,2.27E-02
8.24E-04,2.33E-02
8.28E-04,0.00E+00
8.32E-04,0.00E+00
8.36E-04,0.00E+00
8.40E-04,0.00E+00
8.44E-04,2.33E-02
8.48E-04,0.00E+00
8.52E-04,2.35E-02
8.56E-04,0.00E+00
8.60E-04,2.33E-02
8.64E-04,0.00E+00
8.68E-04,0.00E+00
8.72E-04,0.00E+00
8.76E-04,2.30E-02
8.80E-04,2.30E-02
8.84E-04,0.00E+00
8.88E-04,0.00E+00
8.92E-04,2.27E-02
8.96E-04,0.00E+00
9.00E-04,2.35E-02
9.04E-04,2.33E-02
9.08E-04,0.00E+00
9.12E-04,0.00E+00
9.16E-04,0.00E+00
9.20E-04,0.00E+00
9.24E-04,2.30E-02
9.28E-04,2.33E-02
9.32E-04,0.00E+00
9.36E-04,2.35E-02
9.40E-04,0.00E+00
9.44E-04,0.00E+00
9.48E-04,2.30E-02
9.52E-04,0.00E+00
9.56E-04,2.27E-02
9.60E-04,2.27E-02
9.64E-04,0.00E+00
9.68E-04,0.00E+00
9.72E-04,0.00E+00
9.76E-04,0.00E+00
9.80E-04,0.00E+00
9.84E-04,0.00E+00
9.88E-04,0.00E+00
9.92E-04,0.00E+00
9.96E-04,0.00E+00
1.00E-03,0.00E+00
1.00E-03,2.33E-02
1.01E-03,2.33E-02
1.01E-03,0.00E+00
1.02E-03,0.00E+00
1.02E-03,2.33E-02
1.02E-03,0.00E+00
1.03E-03,0.00E+00
1.03E-03,0.00E+00
1.04E-03,2.30E-02
1.04E-03,0.00E+00
1.04E-03,2.27E-02
1.05E-03,2.33E-02
1.05E-03,0.00E+00
1.06E-03,2.27E-02
1.06E-03,0.00E+00
1.06E-03,0.00E+00
1.07E-03,2.30E-02
1.07E-03,2.27E-02
1.08E-03,0.00E+00
1.08E-03,0.00E+00
1.08E-03,2.30E-02
1.09E-03,0.00E+00
1.09E-03,2.30E-02
1.10E-03,0.00E+00
1.10E-03,2.35E-02
1.10E-03,0.00E+00
1.11E-03,2.27E-02
1.11E-03,0.00E+00
