time,h
-8.40E-05,1.00E+00
-8.30E-05,9.77E-01
-8.20E-05,1.00E+00
-8.10E-05,9.77E-01
-8.00E-05,1.00E+00
-7.90E-05,1.02E+00
-7.80E-05,1.00E+00
-7.70E-05,1.00E+00
-7.60E-05,1.00E+00
-7.50E-05,1.00E+00
-7.40E-05,9.77E-01
-7.30E-05,1.02E+00
-7.20E-05,1.00E+00
-7.10E-05,1.00E+00
-7.00E-05,1.02E+00
-6.90E-05,9.77E-01
-6.80E-05,1.00E+00
-6.70E-05,1.00E+00
-6.60E-05,9.77E-01
-6.50E-05,1.05E+00
-6.40E-05,1.00E+00
-6.30E-05,9.77E-01
-6.20E-05,1.00E+00
-6.10E-05,1.00E+00
-6.00E-05,1.00E+00
-5.90E-05,9.77E-01
-5.80E-05,1.00E+00
-5.70E-05,9.77E-01
-5.60E-05,1.00E+00
-5.50E-05,1.02E+00
-5.40E-05,1.00E+00
-5.30E-05,9.77E-01
-5.20E-05,1.00E+00
-5.10E-05,1.00E+00
-5.00E-05,9.77E-01
-4.90E-05,1.00E+00
-4.80E-05,1.00E+00
-4.70E-05,1.02E+00
-4.60E-05,1.00E+00
-4.50E-05,9.77E-01
-4.40E-05,1.00E+00
-4.30E-05,1.00E+00
-4.20E-05,1.00E+00
-4.10E-05,1.00E+00
-4.00E-05,1.00E+00
-3.90E-05,1.00E+00
-3.80E-05,1.00E+00
-3.70E-05,1.00E+00
-3.60E-05,1.00E+00
-3.50E-05,1.00E+00
-3.40E-05,1.00E+00
-3.30E-05,9.77E-01
-3.20E-05,1.00E+00
-3.10E-05,1.02E+00
-3.00E-05,1.00E+00
-2.90E-05,1.00E+00
-2.80E-05,9.77E-01
-2.70E-05,1.02E+00
-2.60E-05,1.00E+00
-2.50E-05,1.00E+00
-2.40E-05,1.00E+00
-2.30E-05,1.00E+00
-2.20E-05,9.77E-01
-2.10E-05,1.02E+00
-2.00E-05,9.77E-01
-1.90E-05,1.02E+00
-1.80E-05,1.00E+00
-1.70E-05,1.00E+00
-1.60E-05,9.77E-01
-1.50E-05,1.02E+00
-1.40E-05,1.00E+00
-1.30E-05,1.00E+00
-1.20E-05,1.00E+00
-1.10E-05,1.02E+00
-1.00E-05,1.00E+00
-9.00E-06,1.00E+00
-8.00E-06,1.00E+00
-7.00E-06,9.77E-01
-6.00E-06,1.00E+00
-5.00E-06,1.00E+00
-4.00E-06,1.00E+00
-3.00E-06,1.00E+00
-2.00E-06,1.00E+00
-1.00E-06,-1.30E+00
-3.64E-13,-1.07E+00
1.00E-06,-1.05E+00
2.00E-06,-1.02E+00
3.00E-06,-1.00E+00
4.00E-06,-1.00E+00
5.00E-06,-9.75E-01
6.00E-06,-9.50E-01
7.00E-06,-9.25E-01
8.00E-06,-9.25E-01
9.00E-06,-8.75E-01
1.00E-05,-8.75E-01
1.10E-05,-8.50E-01
1.20E-05,-8.50E-01
1.30E-05,-7.80E-01
1.40E-05,-8.00E-01
1.50E-05,-7.56E-01
1.60E-05,-7.75E-01
1.70E-05,-7.25E-01
1.80E-05,-7.25E-01
1.90E-05,-6.75E-01
2.00E-05,-7.00E-01
2.10E-05,-6.50E-01
2.20E-05,-6.50E-01
2.30E-05,-6.25E-01
2.40E-05,-6.25E-01
2.50E-05,-5.61E-01
2.60E-05,-6.00E-01
2.70E-05,-5.37E-01
2.80E-05,-5.50E-01
2.90E-05,-5.12E-01
3.00E-05,-5.25E-01
3.10E-05,-4.88E-01
3.20E-05,-5.00E-01
3.30E-05,-4.63E-01
3.40E-05,-4.75E-01
3.50E-05,-4.15E-01
3.60E-05,-4.15E-01
3.70E-05,-4.00E-01
3.80E-05,-3.90E-01
3.90E-05,-3.75E-01
4.00E-05,-3.75E-01
4.10E-05,-3.41E-01
4.20E-05,-3.50E-01
4.30E-05,-3.17E-01
4.40E-05,-3.25E-01
4.50E-05,-2.93E-01
4.60E-05,-2.93E-01
4.70E-05,-2.75E-01
4.80E-05,-2.68E-01
4.90E-05,-2.50E-01
5.00E-05,-2.44E-01
5.10E-05,-2.25E-01
5.20E-05,-2.25E-01
5.30E-05,-1.95E-01
5.40E-05,-1.71E-01
5.50E-05,-2.00E-01
5.60E-05,-1.71E-01
5.70E-05,-1.46E-01
