X,CH1,CH3
-0.012000001036,-1.56,-1.6380000000000001
-0.011960000731,-1.52,-1.604
-0.011920000426,-1.54,-1.604
-0.011880001053,-1.48,-1.57
-0.011840000749,-1.48,-1.568
-0.011800000444,-1.46,-1.556
-0.011760001071,-1.46,-1.554
-0.011720000766,-1.4,-1.52
-0.011680000462,-1.4,-1.518
-0.011640001088,-1.36,-1.484
-0.011600000784,-1.36,-1.484
-0.011560000479,-1.32,-1.4300000000000002
-0.011520001106,-1.3,-1.4259000000000002
-0.011480000801,-1.26,-1.3940000000000001
-0.011440000497,-1.26,-1.3920000000000001
-0.011400001124,-1.2,-1.338
-0.011360000819,-1.2,-1.3399
-0.011320000514,-1.14,-1.2959
-0.011280001141,-1.14,-1.278
-0.011240000837,-1.08,-1.244
-0.011200000532,-1.08,-1.2619
-0.011160001159,-1.02,-1.1679000000000002
-0.011120000854,-1.02,-1.1840000000000002
-0.01108000055,-0.96,-1.1340000000000001
-0.011040001176,-0.94,-1.1300000000000001
-0.011000000872,-0.88,-1.056
-0.010960000567,-0.88,-1.052
-0.010920000263,-0.82,-0.996
-0.010880000889,-0.8,-0.996
-0.010840000585,-0.74,-0.94
-0.01080000028,-0.72,-0.9179999999999999
-0.010760000907,-0.66,-0.884
-0.010720000602,-0.66,-0.864
-0.010680000298,-0.6,-0.7999999999999999
-0.010640000924,-0.58,-0.784
-0.01060000062,-0.5,-0.728
-0.010560000315,-0.5,-0.706
-0.010520000942,-0.42,-0.65
-0.010480000637,-0.42,-0.628
-0.010440000333,-0.36,-0.552
-0.01040000096,-0.34,-0.552
-0.010360000655,-0.26,-0.488
-0.01032000035,-0.24,-0.49
-0.010280000977,-0.18,-0.414
-0.010240000673,-0.16,-0.41
-0.010200000368,-0.1,-0.334
-0.010160000995,-0.0799,-0.314
-0.01012000069,0.0,-0.25
-0.010080000386,0.02,-0.22999999999999998
-0.010040001012,0.1,-0.134
-0.010000000708,0.1,-0.126
-0.0099600004032,0.16,-0.05600000000000001
-0.00992000103,0.18,-0.05600000000000001
-0.0098800007254,0.26,0.009999999999999995
-0.0098400004208,0.26,0.02600000000000001
-0.0098000010476,0.32,0.13
-0.009760000743,0.34,0.11
-0.0097200004384,0.42,0.186
-0.0096800010651,0.42,0.20800000000000002
-0.0096400007606,0.48,0.272
-0.009600000456,0.5,0.29400000000000004
-0.0095600010827,0.58,0.34800000000000003
-0.0095200007781,0.6,0.35000000000000003
-0.0094800004736,0.66,0.43400000000000005
-0.009440000169,0.64,0.45600000000000007
-0.0094000007957,0.72,0.512
-0.0093600004911,0.74,0.518
-0.0093200001866,0.78,0.594
-0.0092800008133,0.8,0.596
-0.0092400005087,0.86,0.66
-0.0092000002041,0.88,0.658
-0.0091600008309,0.92,0.744
-0.0091200005263,0.94,0.74
-0.0090800002217,1.0,0.8260000000000001
-0.0090400008485,1.0,0.8300000000000001
-0.0090000005439,1.06,0.864
-0.0089600002393,1.08,0.886
-0.0089200008661,1.12,0.9560000000000001
-0.0088800005615,1.14,0.9500000000000001
-0.0088400002569,1.2,1.016
-0.0088000008836,1.2,1.0121
-0.0087600005791,1.24,1.0800999999999998
-0.0087200002745,1.24,1.0819999999999999
-0.0086800009012,1.28,1.1401
-0.0086400005966,1.28,1.142
-0.0086000002921,1.34,1.21
-0.0085600009188,1.34,1.1841
-0.0085200006142,1.38,1.25
-0.0084800003096,1.38,1.248
-0.0084400009364,1.42,1.2941
-0.0084000006318,1.44,1.2941
-0.0083600003272,1.46,1.3399999999999999
-0.008320000954,1.48,1.38
-0.0082800006494,1.52,1.3439999999999999
-0.0082400003448,1.52,1.384
-0.0082000009716,1.56,1.428
-0.008160000667,1.54,1.426
-0.0081200003624,1.58,1.474
-0.0080800009891,1.56,1.472
-0.0080400006846,1.58,1.502
-0.00800000038,1.58,1.5
-0.0079600000754,1.6,1.524
-0.0079200007021,1.6,1.524
-0.0078800003976,1.64,1.57
-0.007840000093,1.62,1.568
-0.0078000007197,1.64,1.576
-0.0077600004151,1.64,1.592
-0.0077200005762,1.62,1.58
-0.0076800007373,1.64,1.6
-0.0076400004327,1.66,1.6239999999999999
-0.0076000005938,1.66,1.626
-0.0075600002892,1.62,1.61
-0.0075200004503,1.64,1.63
-0.0074800006114,1.64,1.614
-0.0074400003068,1.64,1.64
-0.0074000004679,1.62,1.614
-0.007360000629,1.64,1.66
-0.0073200003244,1.62,1.624
-0.0072800004855,1.6,1.622
-0.0072400006466,1.62,1.6300000000000001
-0.007200000342,1.6,1.6280000000000001
-0.0071600005031,1.56,1.614
-0.0071200006641,1.58,1.614
-0.0070800003596,1.54,1.6
-0.0070400005206,1.54,1.598
-0.0070000006817,1.52,1.566
-0.0069600003771,1.52,1.582
-0.0069200005382,1.5,1.552
-0.0068800002337,1.5,1.568
-0.0068400003947,1.44,1.534
-0.0068000005558,1.44,1.514
-0.0067600002512,1.4,1.498
-0.0067200004123,1.4,1.498
-0.0066800005734,1.38,1.464
-0.0066400002688,1.36,1.462
-0.0066000004299,1.3,1.428
-0.006560000591,1.32,1.434
-0.0065200002864,1.26,1.368
-0.0064800004475,1.26,1.3940000000000001
-0.0064400006086,1.22,1.33
-0.006400000304,1.22,1.336
-0.0063600004651,1.16,1.302
-0.0063200006261,1.16,1.28
-0.0062800003216,1.08,1.2459
-0.0062400004826,1.08,1.224
-0.0062000001781,1.04,1.1880000000000002
-0.0061600003392,1.02,1.1859000000000002
-0.0061200005002,0.96,1.1320000000000001
-0.0060800001957,0.96,1.11
-0.0060400003567,0.9,1.0559
-0.0060000005178,0.9,1.054
-0.0059600002132,0.84,0.9999
-0.0059200003743,0.82,0.9999
-0.0058800005354,0.76,0.9139999999999999
-0.0058400002308,0.74,0.9239999999999999
-0.0058000003919,0.7,0.858
-0.005760000553,0.68,0.8619
-0.0057200002484,0.6,0.8059999999999999
-0.0056800004095,0.6,0.7818999999999999
-0.0056400005706,0.54,0.73
-0.005600000266,0.52,0.7079
-0.0055600004271,0.44,0.65
-0.0055200005881,0.44,0.6479
-0.0054800002836,0.38,0.572
-0.0054400004447,0.36,0.57
-0.0054000001401,0.3,0.516
-0.0053600003012,0.28,0.49
-0.0053200004622,0.2,0.41600000000000004
-0.0052800001577,0.2,0.41000000000000003
-0.0052400003187,0.12,0.33599999999999997
-0.0052000004798,0.12,0.33999999999999997
-0.0051600001752,0.04,0.254
-0.0051200003363,0.04,0.254
-0.0050800004974,-0.06,0.1799
-0.0050400001928,-0.0799,0.158
-0.0050000003539,-0.14,0.092
-0.004960000515,-0.14,0.072
-0.0049200002104,-0.22,-0.0020000000000000018
-0.0048800003715,-0.24,-0.0040000000000000036
-0.0048400005326,-0.3,-0.10600000000000001
-0.004800000228,-0.32,-0.10200000000000001
-0.0047600003891,-0.38,-0.166
-0.0047200000845,-0.4,-0.18400000000000002
-0.0046800002456,-0.46,-0.27
-0.0046400004067,-0.48,-0.264
-0.0046000001021,-0.56,-0.348
-0.0045600002632,-0.56,-0.366
-0.0045200004242,-0.62,-0.43210000000000004
-0.0044800001197,-0.64,-0.42800000000000005
-0.0044400002807,-0.7,-0.5121
-0.0044000004418,-0.72,-0.51
-0.0043600001372,-0.78,-0.5940000000000001
-0.0043200002983,-0.78,-0.5900000000000001
-0.0042800004594,-0.86,-0.6581
-0.0042400001548,-0.86,-0.674
-0.0042000003159,-0.92,-0.7381
-0.004160000477,-0.92,-0.7401
-0.0041200001724,-0.98,-0.794
-0.0040800003335,-0.98,-0.7981
-0.0040400004946,-1.04,-0.8841
-0.00400000019,-1.04,-0.862
-0.0039600003511,-1.12,-0.928
-0.0039200000465,-1.12,-0.9460000000000001
-0.0038800002076,-1.18,-1.01
-0.0038400003687,-1.18,-1.008
-0.0038000002969,-1.24,-1.0740999999999998
-0.0037600002252,-1.24,-1.0919999999999999
-0.0037200001534,-1.3,-1.136
-0.0036800003145,-1.3,-1.156
-0.0036400002427,-1.34,-1.202
-0.003600000171,-1.34,-1.198
-0.0035600003321,-1.38,-1.266
-0.0035200002603,-1.4,-1.264
-0.0034800001886,-1.42,-1.308
-0.0034400001168,-1.44,-1.3279999999999998
-0.0034000002779,-1.48,-1.3539999999999999
-0.0033600002062,-1.48,-1.3519999999999999
-0.0033200001344,-1.5,-1.418
-0.0032800002955,-1.5,-1.418
-0.0032400002237,-1.56,-1.444
-0.003200000152,-1.54,-1.464
-0.0031600003131,-1.58,-1.488
-0.0031200002413,-1.6,-1.486
-0.0030800001696,-1.58,-1.532
-0.0030400000978,-1.6,-1.512
-0.0030000002589,-1.64,-1.558
-0.0029600001872,-1.64,-1.558
-0.0029200001154,-1.62,-1.584
-0.0028800002765,-1.64,-1.58
-0.0028400002047,-1.66,-1.608
-0.002800000133,-1.66,-1.608
-0.0027600002941,-1.64,-1.634
-0.0027200002223,-1.66,-1.634
-0.0026800001506,-1.68,-1.658
-0.0026400000788,-1.68,-1.638
-0.0026000002399,-1.66,-1.662
-0.0025600001682,-1.66,-1.658
-0.0025200000964,-1.68,-1.688
-0.0024800002575,-1.66,-1.672
-0.0024400001857,-1.66,-1.666
-0.002400000114,-1.66,-1.674
-0.0023600000422,-1.64,-1.676
-0.0023200002033,-1.66,-1.682
-0.0022800001316,-1.62,-1.656
-0.0022400000598,-1.64,-1.66
-0.0022000002209,-1.6,-1.67
-0.0021600001492,-1.62,-1.668
-0.0021200000774,-1.58,-1.6520000000000001
-0.0020800002385,-1.58,-1.6520000000000001
-0.0020400001667,-1.54,-1.6380000000000001
-0.002000000095,-1.56,-1.618
-0.0019600000232,-1.52,-1.604
-0.0019200001843,-1.52,-1.604
-0.0018800001126,-1.5,-1.568
-0.0018400001572,-1.48,-1.568
-0.0018000000855,-1.46,-1.556
-0.0017600001302,-1.46,-1.552
-0.0017200000584,-1.4,-1.518
-0.0016800001031,-1.4,-1.518
-0.0016400001477,-1.36,-1.482
-0.001600000076,-1.36,-1.482
-0.0015600001207,-1.3,-1.45
-0.0015200000489,-1.3,-1.4259000000000002
-0.0014800000936,-1.26,-1.372
-0.0014400001382,-1.26,-1.3900000000000001
-0.0014000000665,-1.2,-1.3559
-0.0013600001112,-1.2,-1.354
-0.0013200000394,-1.14,-1.2999
-0.0012800000841,-1.14,-1.304
-0.0012400001287,-1.08,-1.2599
-0.001200000057,-1.08,-1.2479
-0.0011600001017,-1.02,-1.1819000000000002
-0.0011200000299,-1.02,-1.1860000000000002
-0.0010800000746,-0.96,-1.1320000000000001
-0.0010400001192,-0.96,-1.1279000000000001
-0.0010000000475,-0.88,-1.078
-0.00096000009216,-0.88,-1.052
-0.00092000007862,-0.82,-0.996
-0.00088000006508,-0.8,-0.996
-0.00084000005154,-0.74,-0.938
-0.000800000038,-0.72,-0.938
-0.00076000002446,-0.66,-0.864
-0.00072000006912,-0.66,-0.86
-0.00068000005558,-0.6,-0.8059999999999999
-0.00064000004204,-0.58,-0.786
-0.0006000000285,-0.5,-0.722
-0.00056000001496,-0.48,-0.708
-0.00052000005962,-0.42,-0.644
-0.00048000004608,-0.42,-0.626
-0.00044000003254,-0.36,-0.5720000000000001
-0.000400000019,-0.34,-0.55
-0.00036000003456,-0.26,-0.486
-0.00032000002102,-0.26,-0.49
-0.00028000000748,-0.18,-0.412
-0.00024000002304,-0.18,-0.414
-0.0002000000095,-0.1,-0.33
-0.00016000001051,-0.0799,-0.31
-0.00012000001152,0.0,-0.254
-8.0000005255e-05,0.0,-0.20600000000000002
-4.0000002627e-05,0.0799,-0.176
0.0,0.1,-0.13
4.0000002627e-05,0.16,-0.05600000000000001
8.0000005255e-05,0.18,-0.05600000000000001
0.00012000001152,0.24,0.030000000000000013
0.00016000001051,0.26,0.02800000000000001
0.0002000000095,0.34,0.106
0.00024000002304,0.34,0.11
0.00028000000748,0.42,0.186
0.00032000002102,0.42,0.21200000000000002
0.00036000003456,0.48,0.268
0.000400000019,0.52,0.272
0.00044000003254,0.58,0.35000000000000003
0.00048000004608,0.58,0.35000000000000003
0.00052000005962,0.64,0.43400000000000005
0.00056000001496,0.64,0.45600000000000007
0.0006000000285,0.72,0.492
0.00064000004204,0.74,0.514
0.00068000005558,0.8,0.5780000000000001
0.00072000006912,0.8,0.598
0.00076000002446,0.86,0.66
0.000800000038,0.86,0.66
0.00084000005154,0.92,0.744
0.00088000006508,0.92,0.738
0.00092000007862,1.0,0.806
0.00096000009216,1.02,0.804
0.0010000000475,1.06,0.87
0.0010400001192,1.08,0.868
0.0010800000746,1.12,0.9521000000000001
0.0011200000299,1.12,0.9500000000000001
0.0011600001017,1.18,1.016
0.001200000057,1.18,1.0121
0.0012400001287,1.24,1.0800999999999998
0.0012800000841,1.24,1.0819999999999999
0.0013200000394,1.28,1.1381
0.0013600001112,1.3,1.142
0.0014000000665,1.34,1.208
0.0014400001382,1.34,1.206
0.0014800000936,1.38,1.25
0.0015200000489,1.38,1.25
0.0015600001207,1.42,1.2941
0.001600000076,1.42,1.292
0.0016400001477,1.46,1.3399999999999999
0.0016800001031,1.46,1.3399999999999999
0.0017200000584,1.5,1.402
0.0017600001302,1.5,1.382
0.0018000000855,1.54,1.448
0.0018400001572,1.54,1.428
0.0018800001126,1.56,1.472
0.0019200001843,1.56,1.474
0.0019600000232,1.58,1.5
0.002000000095,1.58,1.5
0.0020400001667,1.6,1.546
0.0020800002385,1.6,1.522
0.0021200000774,1.62,1.57
0.0021600001492,1.62,1.55
0.0022000002209,1.64,1.596
0.0022400000598,1.64,1.594
0.0022800001316,1.62,1.598
0.0023200002033,1.64,1.598
0.0023600000422,1.66,1.626
0.002400000114,1.64,1.6239999999999999
0.0024400001857,1.64,1.608
0.0024800002575,1.64,1.63
0.0025200000964,1.64,1.616
0.0025600001682,1.64,1.634
0.0026000002399,1.62,1.622
0.0026400000788,1.62,1.662
0.0026800001506,1.6,1.6260000000000001
0.0027200002223,1.6,1.644
0.0027600002941,1.6,1.612
0.002800000133,1.6,1.61
0.0028400002047,1.58,1.6340000000000001
0.0028800002765,1.58,1.612
0.0029200001154,1.56,1.6
0.0029600001872,1.56,1.596
0.0030000002589,1.52,1.584
0.0030400000978,1.52,1.584
0.0030800001696,1.48,1.57
0.0031200002413,1.5,1.568
0.0031600003131,1.44,1.534
0.003200000152,1.44,1.516
0.0032400002237,1.4,1.5
0.0032800002955,1.4,1.498
0.0033200001344,1.36,1.464
0.0033600002062,1.36,1.464
0.0034000002779,1.32,1.428
0.0034400001168,1.32,1.4100000000000001
0.0034800001886,1.26,1.374
0.0035200002603,1.26,1.374
0.0035600003321,1.22,1.336
0.003600000171,1.22,1.336
0.0036400002427,1.16,1.302
0.0036800003145,1.16,1.28
0.0037200001534,1.1,1.248
0.0037600002252,1.1,1.244
0.0038000002969,1.04,1.1680000000000001
0.0038400003687,1.02,1.1859000000000002
0.0038800002076,0.96,1.1320000000000001
0.0039200000465,0.96,1.112
0.0039600003511,0.9,1.0759
0.00400000019,0.88,1.0559
0.0040400004946,0.82,0.9999
0.0040800003335,0.82,0.9959
0.0041200001724,0.76,0.9399
0.004160000477,0.76,0.9399
0.0042000003159,0.68,0.864
0.0042400001548,0.68,0.844
0.0042800004594,0.6,0.8079
0.0043200002983,0.6,0.7839999999999999
0.0043600001372,0.54,0.73
0.0044000004418,0.52,0.7279
0.0044400002807,0.46,0.65
0.0044800001197,0.44,0.646
0.0045200004242,0.36,0.574
0.0045600002632,0.36,0.576
0.0046000001021,0.28,0.492
0.0046400004067,0.3,0.51
0.0046800002456,0.22,0.43600000000000005
0.0047200000845,0.2,0.41600000000000004
0.0047600003891,0.12,0.32999999999999996
0.004800000228,0.12,0.33399999999999996
0.0048400005326,0.04,0.258
0.0048800003715,0.04,0.23800000000000002
0.0049200002104,-0.02,0.1719
0.004960000515,-0.06,0.158
0.0050000003539,-0.14,0.092
0.0050400001928,-0.16,0.072
0.0050800004974,-0.22,0.0
0.0051200003363,-0.22,-0.027999999999999997
0.0051600001752,-0.3,-0.10200000000000001
0.0052000004798,-0.32,-0.10400000000000001
